Date,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Is_Service_National,Is_Service_International,Year,month
2018-02,BORDEAUX ST JEAN,TOURCOING,301.0,28,0,15,12.36888889,6.639880952,10,82.2,31.21428571,10,31.21428571,5,4,16.66666667,0.0,66.66666667,16.66666667,0.0,0.0,True,False,2018,2
2018-02,PARIS VAUGIRARD,BORDEAUX ST JEAN,164.0,54,1,10,30.16166667,5.247798742,11,49.21363636,10.19308176,10,10.19308176,8,3,50.0,0.0,0.0,40.0,0.0,10.0,True,False,2018,2
2018-02,RENNES,PARIS VAUGIRARD,111.0,27,0,6,7.333333333,1.62962963,5,60.14666667,12.80432099,5,12.80432099,3,3,50.0,25.0,25.0,0.0,0.0,0.0,True,False,2018,2
2018-02,AIX EN PROVENCE TGV,PARIS LYON,188.0,356,0,143,7.292307692,2.998501873,40,33.83583333,5.652808989,40,5.652808989,18,3,40.0,37.5,2.5,17.5,2.5,0.0,True,False,2018,2
2018-02,PARIS LYON,MULHOUSE VILLE,168.0,262,2,38,12.59298246,1.547820513,27,27.67716049,4.155641026,16,4.155641026,5,2,23.07692308,11.53846154,34.61538462,30.76923077,0.0,0.0,True,False,2018,2
2018-02,LAUSANNE,PARIS LYON,220.0,128,0,105,3.964444444,3.317317708,11,47.39848485,4.809895833,11,4.809895833,6,4,36.36363636,27.27272727,18.18181818,9.090909091,9.090909091,0.0,False,True,2018,2
2018-02,PARIS EST,STUTTGART,187.0,137,3,50,14.66033333,5.526741294,38,36.17192982,13.2960199,38,13.2960199,16,3,50.0,0.0,11.11111111,30.55555556,8.333333333,0.0,False,True,2018,2
2018-02,PARIS MONTPARNASSE,LE MANS,55.0,401,14,75,17.59622222,3.190999139,95,34.43421053,8.832687339,51,8.787275064,26,12,68.75,13.75,10.0,5.0,2.5,0.0,True,False,2018,2
2018-02,PARIS MONTPARNASSE,NANTES,124.0,465,22,89,17.60655431,3.29635064,89,47.98483146,18.82,80,10.81963883,49,15,63.52941176,14.11764706,9.411764706,9.411764706,3.529411765,0.0,True,False,2018,2
2018-02,PARIS MONTPARNASSE,POITIERS,93.0,459,16,91,19.37747253,3.708164033,103,38.98300971,11.08886381,78,11.08886381,48,19,52.38095238,15.47619048,14.28571429,13.0952381,3.571428571,1.19047619,True,False,2018,2
2018-02,PARIS MONTPARNASSE,TOURS,72.0,171,12,29,36.31896552,6.301572327,53,38.93018868,14.03322851,30,14.03322851,22,8,60.52631579,15.78947368,13.15789474,7.894736842,0.0,2.631578947,True,False,2018,2
2018-02,METZ,PARIS EST,85.0,275,2,124,9.513709677,4.350976801,113,19.01386431,8.521001221,45,8.521001221,28,2,44.79166667,8.333333333,13.54166667,18.75,10.41666667,4.166666667,True,False,2018,2
2018-02,NANTES,STRASBOURG,303.0,36,0,15,4.414444444,2.000462963,9,61.69814815,16.51990741,9,16.51990741,5,2,66.66666667,11.11111111,22.22222222,0.0,0.0,0.0,True,False,2018,2
2018-02,PARIS EST,NANCY,94.0,268,4,70,13.82428571,3.643055556,38,25.52280702,6.342866162,44,6.342866162,16,4,61.29032258,0.0,9.677419355,25.80645161,3.225806452,0.0,True,False,2018,2
2018-02,LILLE,LYON PART DIEU,189.0,279,4,142,8.862441315,4.635212121,44,32.95681818,6.876848485,42,6.876848485,14,4,39.47368421,15.78947368,15.78947368,23.68421053,5.263157895,0.0,True,False,2018,2
2018-02,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.0,188,0,16,11.89895833,0.609929078,43,14.46976744,4.270478723,15,4.270478723,3,1,33.33333333,12.5,33.33333333,12.5,8.33,0.0,True,False,2018,2
2018-02,PARIS LYON,MACON LOCHE,95.0,205,0,32,13.15208333,1.866260163,30,23.73166667,4.487235772,21,4.487235772,6,0,18.51851852,11.11111111,25.92592593,37.03703704,3.703703704,3.703703704,True,False,2018,2
2018-02,PARIS LYON,TOULON,239.0,200,5,25,19.396,2.175042735,42,35.63611111,12.39162393,42,12.39162393,16,3,25.64102564,23.07692308,33.33333333,12.82051282,2.564102564,2.564102564,True,False,2018,2
2018-02,TOULON,PARIS LYON,241.0,247,2,90,7.988518519,3.096054422,33,34.42272727,5.748027211,33,5.748027211,16,2,30.3030303,39.39393939,15.15151515,15.15151515,0.0,0.0,True,False,2018,2
2018-02,ITALIE,PARIS LYON,603.07,85,0,75,4.386666667,3.911764706,23,24.13768116,8.891568627,23,8.891568627,4,0,8.695652174,26.08695652,56.52173913,8.695652174,0.0,0.0,False,True,2018,2
2018-02,PARIS EST,FRANCFORT,226.0,120,3,26,16.44551282,3.665669516,33,39.91414141,15.23504274,33,22.12,17,6,50.0,6.25,18.75,18.75,3.125,3.125,False,True,2018,2
